,placename,placeaddress,placephone,placeinfo,placeintro,openhour,placeimg
10,라인필라테스 애오개점필라테스,서울 마포구 마포대로 204,02-362-7200,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분, 지역화폐(카드형), 제로페이",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200518_271%2F15897813838091HqNf_JPEG%2FXPTBQNYwVdeeXRnmEy1Rc66V.jpeg.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201111_171%2F1605070405751JsMJo_PNG%2FNb4W_rgNj3Q75IpZKgSfdqIh.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201113_139%2F1605255803904DCj4G_PNG%2FnokqllPthyxvcZE0nNV3tNE8.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201113_148%2F1605243976687DmIUm_JPEG%2FUVXM3xuVdNYt0szlIHZzI96F.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201113_55%2F1605243976633ILtQ7_JPEG%2FKrcXGgXGZgTO4-NgcJTuzPl2.jpg"
11,바디멀티필라테스 스튜디오 마포구청점필라테스,서울 마포구 월드컵로36길 14,02-303-7111,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분, 지역화폐(카드형), 지역화폐(모바일형), 제로페이",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200717_144%2F1594956758360TzWTp_JPEG%2FUfzRof5LnXusgfoOjym2Oysq.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200717_276%2F1594956760072vwSrA_JPEG%2FDgTHbNBLXLFep-RGYNerzPZl.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200717_88%2F1594956763817Cx16C_JPEG%2FWU3BYMzKWtHwkARe-MQ8IMot.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200717_136%2F1594956760287C0huC_JPEG%2FBXRoikdOcRZqlLPlfR7R5UrD.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200717_7%2F15949567587732WmY1_JPEG%2F92BVVY1b3g-rAqDUygpdWhXD.jpg"
12,더 모던 필라테스필라테스,서울 마포구 양화로 156 1521호,0507-1423-3252,주차,,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160706_209%2F1467805911215VsmYe_JPEG%2F176656608170546_0.jpeg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160706_216%2F1467805911291pR8aa_JPEG%2F176656608170546_1.jpeg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160706_174%2F1467805911349fdggc_JPEG%2F176656608170546_2.jpeg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160706_294%2F1467805911425kQhkg_JPEG%2F176656608170546_3.jpeg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160706_39%2F1467805911479eBVJ0_JPEG%2F176656608170546_4.jpeg"
13,타임투필라테스 합정점필라테스,서울 마포구 양화로7길 30,010-5069-2468,"단체석, 주차, 방문접수/출장, 예약, 무선 인터넷, 남/녀 화장실 구분","First pilates, time to PILATES@업계최초 필라테스 운동법 특허 보유@업계최초 베이비케어 서비스 실시Professional pilates, time to PILATES@정형외과, 산부인과 병원출강@필라테스 강사 교육기관VVIP pilates, time to PILATES@수입기구 도입@전문체형측정장비, 음파운동장비 도입안녕하세요타임투 필라테스 합정본점 입니다.수준 높은 필라테스를 위한 가장 합리적인 선택,타임투 필라테스가 함께하겠습니다.@합정 필라테스@합정역 필라테스2,6호선 합정역 도보 2분 합정 필라테스합정역 필라테스합정동 필라테스",,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_138%2F1441099877476nOCnq_JPEG%2FSUBMIT_1437736586347_36812440.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_243%2F1441099877652eBO8k_JPEG%2FSUBMIT_1437736584549_36812440.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_148%2F1441099877850LWWRG_JPEG%2FSUBMIT_1437736585480_36812440.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_86%2F14410998780511BvGi_JPEG%2FSUBMIT_1437736583414_36812440.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_295%2F1441099878247YKrg3_JPEG%2FSUBMIT_1437736582544_36812440.jpg"
14,비욘드바디필라테스&플라잉요가 공덕점필라테스,서울 마포구 마포대로 115-8,0507-1327-0237,"주차, 무선 인터넷, 남/녀 화장실 구분",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191204_158%2F1575438114375vExRJ_JPEG%2F6CRLvOayPv8UovPqqaWioxr0.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210203_222%2F1612344790168chgWM_JPEG%2F5HcAtSzjqSF1gdKE8o8xnliP.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210203_228%2F1612344789918kr5G2_JPEG%2F-kP7Yhuexu1a3AkHSf5YfBjh.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191204_17%2F1575438125706qqIzy_JPEG%2F4yqeGzh9ajjiOSBYFK2leh1X.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210203_275%2F1612344790151fiyCB_JPEG%2Fxk_3U3hxGmKGuhowMx98L0iW.jpg"
15,감성필라테스 아현점필라테스,서울 마포구 굴레방로 27 보성상가 4층 감성필라테스 아현점,0507-1466-1035,"주차, 무선 인터넷, 남/녀 화장실 구분, 제로페이",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210216_151%2F1613452214240nwnA9_PNG%2F1JWmHA7IZ-aJ9_WLWl63EuMR.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200416_100%2F1587013106134t9cQ3_JPEG%2FM2crwLpxRsMNcGCKzskKolMr.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210216_60%2F1613452361219VgHbd_JPEG%2F1QLbV_d5JfbSpm6_x0Jl8IkV.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200416_100%2F1587013102806f6g1P_PNG%2Fgy0IxNnI8U1I5SxAkOcSaoyC.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200716_120%2F1594906362722Qfo59_JPEG%2FoQ4C_cxNismTC9_R734miKzj.jpg"
16,라인필라테스 공덕점필라테스,서울 마포구 도화길 43 삼보나눔빌딩3층,02-714-7113,"주차, 무선 인터넷, 남/녀 화장실 구분, 제로페이",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200515_93%2F1589512157334WnGq7_PNG%2Fq1p13G51n4WUMbLh4YVRvuWK.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201106_166%2F1604624779365b9T7y_PNG%2FAXsZGaaeZmRoRssa5tp8pilI.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201106_109%2F1604624779507g1nfc_PNG%2F4JyV6OCrDKW9uIc4etz7flQx.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200515_293%2F1589512128513iYobY_PNG%2Fz05DQsT3U1kofY9cK4InFWHq.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200515_121%2F1589512136045bPAAI_PNG%2FKlxRcIOHFKRUj-_qaaVPfw2z.png"
17,더온필라테스필라테스,서울 마포구 동교로 177-1 3층,0507-1392-0477,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분","더온필라테스 홍대점기구 - 캐딜락,콤비리포머,레더 바렐,체어* 1:1 / 6:1 기구필라테스 수업체형교정 자세교정 다이어트 근력증진100% 기구필라테스 전문 센터입니다.※문의 - 카카오채널 더온필라테스 홍대점 (http://pf.kakao.com/_BIYLxb - 010.9647-4774 (문자문의 가능)편하게 문의 주세요~",,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210319_67%2F1616134906513AUgCr_PNG%2F61EZ6GJ5Xrm4tDPh_27-aw0X.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210226_202%2F1614329639888iWQgC_JPEG%2F9d4Sqp2I_VaAWpdvLFDNDdLy.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210226_68%2F1614329640796PbReh_JPEG%2Fsjtb3G_HSEr78XgxUEtM-vRZ.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210226_164%2F1614329640336d8z54_JPEG%2FP_VwkD5wqN7vz5zjH8fMxvI_.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210226_106%2F1614329640770dOMua_JPEG%2FlXQv_SPD6T3-jTjYYJOGSfOp.jpg"
18,제이지 PT&필라테스필라테스,서울 마포구 모래내로 5 우남퍼스트빌 201호,02-2088-7223,,,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201016_47%2F16028239360994oI1X_JPEG%2F5_CGgkzEMu7co-Qqkbq4KtLL.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201016_159%2F1602823936148W7olO_JPEG%2FTEKXga5miWIoeKoAMTNCj5dk.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201016_286%2F1602823936135yDOAJ_JPEG%2Fj6d5DOysvaR4bPPyC7E_pilo.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201016_13%2F16028239361313Mot2_JPEG%2FOl7i0tT8BgmxQisvKonclYSP.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201016_207%2F1602823936205BRGLQ_JPEG%2F6K52J9RALNWdt5KwOd5v7709.jpg"
19,제이핏필라테스 공덕점필라테스,서울 마포구 마포대로 73 sk허브그린 203호,02-719-1230,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200226_34%2F15827002655710jTMk_JPEG%2FBgbMUNmMO0Vpvo87aBQsiAZ6.JPG.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200226_161%2F1582700266158zktkW_JPEG%2FE7JOMD4Aaz8g2Bz-p0Yubqll.JPG.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200226_66%2F1582700255387DAOkM_JPEG%2Fce-M5ADnIC7wVvSbTIuaKsXa.JPG.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200226_287%2F1582700249991C8kkI_JPEG%2F28t2NgPlbFhqAwcKk6UHW2SZ.JPG.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200226_64%2F15827002492751Q28O_JPEG%2FHzHI30eb6NTcJ6s2KVT1l2xa.JPG.jpg"
